18　一度贊包麵－爌,38.0
51　（祥）鮮奶吐司,26.0
15　統一肉燥麵包,16.0
79　王子麵４０ｇ＊５,35.0
日本湖池屋海苔鹽洋芋條(桶裝),39.0
舒跑運動飲料PET590,25.0
煙燻熱狗,30.0
(區)炭火燒肉飯糰,28.0
鮪魚飯糰,25.0
肉鬆飯糰,23.0
真飽涼麵-原味,45.0
Lay's樂事組合包43gx4包/組,54.0
海味家族-紅燒魚排120g/包,38.0
RT大潤發蒜香青豆240公克,39.0
聯華可樂果試嚼系九層塔口味140g,35.0
福樂牛乳-高鈣1892cc/瓶,110.0
IB-360SKB自動原子筆-黑#1支,3.0
Lay's樂事組合包43gx4包/組,54.0
益壽多甘味速食咖哩125g/盒,47.0
益壽多甘味速食咖哩125g/盒,23.0
益壽多甘味速食咖哩125g/盒,47.0
益壽多甘味速食咖哩125g/盒,23.0
工研蘋果蜂蜜速食咖哩125g/盒,47.0
工研蘋果蜂蜜速食咖哩125g/盒,23.0
巧克力杏仁小西餅,63.0
可樂果古早味量販包(57g*4包)/袋,58.0
41　波蜜極品紅茶,20.0
41　波蜜極品紅茶,20.0
26　躍盛皇后吐司,28.0
CD波蜜靠茶四季,20.0
統一麥香奶茶TP300,10.0
26　傑可原味洋芋片,49.0
26　傑可原味洋芋片,49.0
38　手感克林姆麵包,22.0
99　克寧燕麥飲品,79.0
DＪａｃｋｅｒ,20.0
鹽烤豬肉飯糰,25.0
(區)燻雞沙拉飯糰,18.0
九二無鉛汽油,24.7
樂事海苔壽司意和包,25.0
乖乖五香大,20.0
84　乖乖五香,16.0
84　乖乖五香,16.0
26　躍盛皇后吐司,28.0
D乖乖玉米脆條,3.0
塊餡－鹽蔥豬排飯糰,27.0
光泉鮮豆漿（罐裝）,25.0
歐風巧克力蛋糕,25.0
藍莓寒天貝果,28.0
佛蒙特咖哩飯,65.0
廣告服務,33.0
物流處理費,60.0
九二無鉛汽油,26.1
肉鬆飯糰（三配）,23.0
Sunkist芭樂柳橙綜合果汁飲料,25.0
鮪魚飯糰,25.0
浪味仙蔬菜餅（大）,20.0
咖啡拿鐵,25.0
紐西蘭帝王鮭飯糰,28.0
可口上賓蛋捲綜合超值包,97.0
可口上賓蛋捲綜合超值包,97.0
可口上賓蛋捲綜合超值包,97.0
樂事波樂厚片組合包43gx4包/袋,53.0
北海鱈魚香絲歡樂包,199.0
台糖四分片鳳梨罐頭227gx3罐/組,75.0
桂冠法式沙拉200g/瓶,34.0
味全甘鮮花生麵筋170g*3入/組,49.0
維力原祖雞汁麵70gx5包/組,37.0
維力原祖雞汁麵70gx5包/組,37.0
新東陽蜜汁豬肉乾145g/包,89.0
FP五香花生,200g,45.0
FP鹽酥雞花生,200g,42.0
光泉胚芽米漿,20.0
大口法香烤雞飯糰,35.0
胡蘿蔔綜合蔬果汁,35.0
94　茂谷柑,89.0
25　品客洋芋片原味,49.0
82　銅鑼燒（長津）,69.0
立頓巧克力奶茶,25.0
肉鬆飯糰（三配）,23.0
輕鬆小品咖啡牛奶兩入組,50.0
鹽烤豬肉飯糰,25.0
7-SELECT拿鐵咖啡400ml,25.0
澳洲Brownes全脂牛奶1L/瓶,79.0
樂事波樂厚片組合包43gx4包/袋,59.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
原味巡禮大溪豆干-大豆丁160g/包,29.0
極餐野海苔(原味),69.0
RT大潤發蒜香青豆240公克,39.0
FP鱈魚香絲220g,49.0
原味巡禮大溪豆干-大豆丁160g/包,29.0
原味巡禮大溪豆干-大豆丁160g/包,29.0
FP原味味付海苔42公克/包,58.0
RT韓式海苔-原味40g/包,57.0
良澔朝鮮海苔-原味45g/包,59.0
43　５６６美色染髮＃１１,169.0
82　易口舒清爽蜜桃,52.0
家福五香花生,68.0
桂格鮮榖王5種,142.0
佛蒙特咖哩飯,60.0
九二無鉛汽油,25.7
１０４年全國技術士技,50.0
台灣柳丁(約130克+-5%)/公斤,45.0
星巴克雙份濃縮拿鐵咖啡飲料,75.0
星巴克雙份濃縮美式咖啡飲料,75.0
111241214A10廣穎2.5"1TBS03黑行動硬碟,1699.0
錫蘭紅茶蛋糕,25.0
39　可樂果原味,20.0
25　可樂果九層塔,20.0
39　白吐司,25.0
96　生活泡沫紅茶,11.0
九二無鉛汽油,23.7
手續費,60.0
九二無鉛汽油,23.3
台灣蒜頭600g+-5%/袋,69.0
美粒果柳橙汁1250ml/瓶,32.0
美粒果白葡萄蘆薈1250ml/瓶,32.0
日式風味蟹棒270g/30支/包,79.0
珍珍魷魚絲135g/包,85.0
愛之味鮪魚片185gx3罐/組,128.0
金孔雀禮盒,239.0
有賀脆紫菜-原味50g/包,35.0
肉鬆飯糰,23.0
51　（祥）鮮奶吐司,29.0
11　依必朗洗衣精補,59.0
52　唯潔雅衛生紙,91.0
錫蘭紅茶蛋糕,25.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
極餐野海苔(原味),69.0
FP原味味付海苔42公克/包,58.0
FP原味味付海苔42公克/包,58.0
極餐野海苔(原味),69.0
FP原味味付海苔42公克/包,58.0
FP原味味付海苔42公克/包,58.0
九二無鉛汽油,24.1
九二無鉛汽油,25.7
LCA506活菌原味發酵乳1750ml/瓶,72.0
波的多洋芋片(蚵仔煎味)82g/包,29.0
裕榮蝦味先量販包60gx4包/組,52.0
喜年來經典蛋捲量販包,135.0
義美巧克力酥片（黑可可）,87.0
卡迪那德州薯條量販包42gx4包/袋,52.0
義美巧克力酥片,87.0
Lay's意合組合包60gx4盒/袋,69.0
義美巧克力夾心酥400g/包,68.0
寶卡卡原味量販包33gx4包/袋,52.0
代銷－４Ｘ６生活照,6.0
肉鬆飯糰,23.0
7-SELECT伯爵奶茶240ml,25.0
藍莓寒天貝果,28.0
九二無鉛汽油,24.7
奶油白吐司半條,30.0
跟任何人都可以聊得,281.0
跟任何人都可以聊得,265.0
味全木瓜調味乳,38.0
家福嚴選--豬油,30.0
家福嚴選--豬油,40.0
海水魚出清,39.0
現烤牛奶棒5入,95.0
A4黑白影印,2.0
義美古早傳統無糖豆奶,23.0
錫蘭紅茶蛋糕,25.0
台灣小地瓜1kg+-5%/袋,20.0
台灣馬鈴薯-130g+-10%/粒,6.0
台灣紅蘿蔔600g+-5%/袋,19.0
台灣紅蘿蔔600g+-5%/袋,19.0
台灣紅蘿蔔600g+-5%/袋,19.0
泰山冰鎮百香綠茶650ml,25.0
九二無鉛汽油,25.6
九二無鉛汽油,24.7
7-SELECT拿鐵咖啡400ml,25.0
鹽烤豬肉飯糰,25.0
生活泡沫奶茶,28.0
茶裏王白毫烏龍茶,20.0
茶裏王白毫烏龍茶,20.0
伯朗咖啡CAN240,23.0
大口法香烤雞飯糰,35.0
義美古早傳統豆奶,23.0
鮪魚飯糰,25.0
鰻魚飯糰（三配）,35.0
鰻魚飯糰（三配）,35.0
佛蒙特咖哩飯,60.0
飲冰室茶集烏龍奶茶400ml(盒),25.0
鮪魚飯糰,25.0
遠傳大寬頻ADSL網路月租費,166.0
握便當-奮起湖雞腿,39.0
代銷－４Ｘ６生活照,6.0
【113F12092005】９２無鉛汽油,25.2
82　生活泡沫綠茶,22.0
82　生活泡沫綠茶,22.0
84　乖乖五香,16.0
84　乖乖五香,16.0
51　（祥）鮮奶吐司,20.0
05　紐－富士蘋果＃８０,20.0
CD生活泡沫綠茶,21.0
D乖乖玉米脆條,3.0
九二無鉛汽油,25.7
肉鬆飯糰,23.0
皮蛋瘦肉粥,55.0
中興九號米12kg/包三等米,529.0
紅蟳120~160g/隻,71.0
鮪魚飯糰,25.0
(3L)科學麵香蔥雞汁袋,10.0
鮪魚飯糰,25.0
塊餡－鹽麴烤雞飯糰（,27.0
立頓巧克力奶茶,25.0
九二無鉛汽油,24.5
32　模範生點心餅,35.0
39　白吐司,25.0
光泉米漿,20.0
蜂蜜奶油鬆餅（２入）,28.0
克林姆麵包,22.0
義美古早傳統低糖豆奶,23.0
(熱)統一麥香奶茶Can340,25.0
阿華田營養麥芽牛奶飲品CAN340,30.0
鹽烤豬肉飯糰,25.0
御茶園特上奶茶PET550,28.0
